pairId AP descriptorName
bark_1_2 0.4649 ASV_SIFT_1M_3
bark_1_3 0.3498 ASV_SIFT_1M_3
bark_1_4 0.3508 ASV_SIFT_1M_3
bark_1_5 0.2653 ASV_SIFT_1M_3
bark_1_6 0.1580 ASV_SIFT_1M_3
wall_1_2 0.7241 ASV_SIFT_1M_3
wall_1_3 0.6239 ASV_SIFT_1M_3
wall_1_4 0.3517 ASV_SIFT_1M_3
wall_1_5 0.0931 ASV_SIFT_1M_3
wall_1_6 0.0005 ASV_SIFT_1M_3
trees_1_2 0.2878 ASV_SIFT_1M_3
trees_1_3 0.1998 ASV_SIFT_1M_3
trees_1_4 0.0778 ASV_SIFT_1M_3
trees_1_5 0.0726 ASV_SIFT_1M_3
trees_1_6 0.0441 ASV_SIFT_1M_3
boat_1_2 0.5058 ASV_SIFT_1M_3
boat_1_3 0.4390 ASV_SIFT_1M_3
boat_1_4 0.1699 ASV_SIFT_1M_3
boat_1_5 0.1140 ASV_SIFT_1M_3
boat_1_6 0.0196 ASV_SIFT_1M_3
