pairId AP descriptorName
bark_1_2 0.4737 ASV_SIFT_1M_15
bark_1_3 0.3518 ASV_SIFT_1M_15
bark_1_4 0.3514 ASV_SIFT_1M_15
bark_1_5 0.2660 ASV_SIFT_1M_15
bark_1_6 0.1580 ASV_SIFT_1M_15
wall_1_2 0.7242 ASV_SIFT_1M_15
wall_1_3 0.6285 ASV_SIFT_1M_15
wall_1_4 0.3606 ASV_SIFT_1M_15
wall_1_5 0.0990 ASV_SIFT_1M_15
wall_1_6 0.0006 ASV_SIFT_1M_15
trees_1_2 0.2918 ASV_SIFT_1M_15
trees_1_3 0.2041 ASV_SIFT_1M_15
trees_1_4 0.0797 ASV_SIFT_1M_15
trees_1_5 0.0750 ASV_SIFT_1M_15
trees_1_6 0.0450 ASV_SIFT_1M_15
boat_1_2 0.5120 ASV_SIFT_1M_15
boat_1_3 0.4417 ASV_SIFT_1M_15
boat_1_4 0.1715 ASV_SIFT_1M_15
boat_1_5 0.1179 ASV_SIFT_1M_15
boat_1_6 0.0201 ASV_SIFT_1M_15
