pairId AP_SIFT AP_ASV_SIFT_1M_3
bark_1_2 0.446400 0.464900
bark_1_3 0.351300 0.349800
bark_1_4 0.383800 0.350800
bark_1_5 0.286300 0.265300
bark_1_6 0.176100 0.158000
boat_1_2 0.429400 0.505800
boat_1_3 0.366100 0.439000
boat_1_4 0.131300 0.169900
boat_1_5 0.085000 0.114000
boat_1_6 0.009900 0.019600
trees_1_2 0.244400 0.287800
trees_1_3 0.160500 0.199800
trees_1_4 0.058100 0.077800
trees_1_5 0.044700 0.072600
trees_1_6 0.022000 0.044100
wall_1_2 0.718100 0.724100
wall_1_3 0.585100 0.623900
wall_1_4 0.293400 0.351700
wall_1_5 0.062700 0.093100
wall_1_6 0.000600 0.000500
