pairId AP_SIFT AP_ASV_SIFT_1M_15
bark_1_2 0.446400 0.473700
bark_1_3 0.351300 0.351800
bark_1_4 0.383800 0.351400
bark_1_5 0.286300 0.266000
bark_1_6 0.176100 0.158000
boat_1_2 0.429400 0.512000
boat_1_3 0.366100 0.441700
boat_1_4 0.131300 0.171500
boat_1_5 0.085000 0.117900
boat_1_6 0.009900 0.020100
trees_1_2 0.244400 0.291800
trees_1_3 0.160500 0.204100
trees_1_4 0.058100 0.079700
trees_1_5 0.044700 0.075000
trees_1_6 0.022000 0.045000
wall_1_2 0.718100 0.724200
wall_1_3 0.585100 0.628500
wall_1_4 0.293400 0.360600
wall_1_5 0.062700 0.099000
wall_1_6 0.000600 0.000600
